
 num     #instances         #bytes  class name
 260:             1             24  sun.usagetracker.UsageTrackerClient$3
 261:             1             24  java.util.zip.ZStreamRef
 262:             1             24  [Ljava.util.Enumeration;
 263:             1             24  sun.usagetracker.UsageTrackerClient$UsageTrackerRunnable
 264:             1             24  sun.net.www.MessageHeader
 265:             1             24  java.util.ArrayDeque
 266:             1             24  sun.management.RuntimeImpl
 267:             1             24  sun.security.action.GetIntegerAction
 268:             1             24  java.util.Date
 269:             1             24  java.util.Collections$UnmodifiableCollection$1
 270:             1             24  sun.nio.cs.UTF_16
 271:             1             24  sun.launcher.LauncherHelper
 272:             1             24  java.lang.reflect.ReflectPermission
 273:             1             24  sun.nio.cs.UTF_16BE
 274:             1             24  java.io.FilePermissionCollection
 275:             1             24  java.util.ServiceLoader$1
 276:             1             24  sun.util.locale.BaseLocale$Cache
 277:             1             24  [Ljava.net.InetAddress$Cache$Type;
 278:             1             16  java.util.LinkedHashSet
 279:             1             16  sun.misc.Launcher$BootClassPathHolder$1
 280:             1             16  java.nio.charset.CoderResult$2
 281:             1             16  java.lang.SystemClassLoaderAction
 282:             1             16  sun.util.resources.LocaleData$LocaleDataResourceBundleControl
 283:             1             16  sun.nio.fs.UnixNativeDispatcher$1
 284:             1             16  java.io.FileDescriptor$1
 285:             1             16  sun.util.calendar.Gregorian
 286:             1             16  sun.misc.Unsafe
 287:             1             16  java.util.ResourceBundle$Control
 288:             1             16  java.net.URL$1
 289:             1             16  java.util.WeakHashMap$KeySet
 290:             1             16  sun.nio.fs.DefaultFileSystemProvider$1
 291:             1             16  java.nio.file.FileSystems$DefaultFileSystemHolder$1
 292:             1             16  sun.misc.Launcher$ExtClassLoader$1
 293:             1             16  sun.net.InetAddressCachePolicy$2
 294:             1             16  java.lang.CharacterDataLatin1
 295:             1             16  java.util.TimeZone$1
 296:             1             16  java.security.ProtectionDomain$3
 297:             1             16  java.net.URLClassLoader$3$1
 298:             1             16  java.lang.System$2
 299:             1             16  java.lang.reflect.Proxy$KeyFactory
 300:             1             16  java.security.Security$1
 301:             1             16  java.util.Hashtable$EntrySet
 302:             1             16  sun.misc.Perf
 303:             1             16  java.net.URLClassLoader$7
 304:             1             16  java.net.InetSocketAddress
 305:             1             16  sun.util.calendar.ZoneInfoFile$1
 306:             1             16  java.lang.String$CaseInsensitiveComparator
 307:             1             16  java.net.InetAddress$1
 308:             1             16  sun.util.calendar.ZoneInfoFile$2
 309:             1             16  [Ljava.nio.file.LinkOption;
 310:             1             16  java.util.ResourceBundle$RBClassLoader$1
 311:             1             16  java.util.Collections$EmptyList
 312:             1             16  java.lang.Terminator$1
 313:             1             16  java.lang.reflect.Proxy$ProxyClassFactory
 314:             1             16  sun.reflect.ReflectionFactory
 315:             1             16  java.lang.ref.Reference$Lock
 316:             1             16  java.net.DatagramSocket$1
 317:             1             16  java.nio.Bits$1
 318:             1             16  sun.usagetracker.UsageTrackerClient$2
 319:             1             16  java.util.jar.JavaUtilJarAccessImpl
 320:             1             16  [Ljava.security.cert.Certificate;
 321:             1             16  sun.security.action.GetBooleanAction
 322:             1             16  sun.net.www.protocol.file.Handler
 323:             1             16  java.util.zip.ZipFile$2
 324:             1             16  sun.misc.Launcher
 325:             1             16  java.security.ProtectionDomain$1
 326:             1             16  sun.usagetracker.UsageTrackerClient
 327:             1             16  sun.nio.fs.MacOSXFileSystemProvider
 328:             1             16  java.lang.ClassLoader$2
 329:             1             16  java.nio.charset.CoderResult$1
 330:             1             16  sun.misc.Perf$GetPerfAction
 331:             1             16  java.util.Collections$EmptySet
 332:             1             16  java.lang.reflect.ReflectAccess
 333:             1             16  java.lang.Runtime
 334:             1             16  sun.net.InetAddressCachePolicy$1
 335:             1             16  java.lang.Compiler$1
 336:             1             16  java.util.concurrent.ThreadLocalRandom$1
 337:             1             16  [Ljava.lang.Throwable;
 338:             1             16  sun.misc.Launcher$Factory
Total         34352        9036400
